NM_FIELD_NAMING_CONVENTION	RSPEC-116
EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS	RSPEC-2162
VA_FORMAT_STRING_BAD_ARGUMENT	RSPEC-2275
UPM_UNCALLED_PRIVATE_METHOD	UnusedPrivateMethod
DMI_THREAD_PASSED_WHERE_RUNNABLE_EXPECTED	RSPEC-2438
DM_BOXED_PRIMITIVE_TOSTRING	RSPEC-2131
NM_BAD_EQUAL	RSPEC-1221
HE_HASHCODE_USE_OBJECT_EQUALS	RSPEC-1206
DB_DUPLICATE_SWITCH_CLAUSES	RSPEC-1871
RV_RETURN_VALUE_IGNORED	RSPEC-2201
RV_EXCEPTION_NOT_THROWN	RSPEC-1848
MS_SHOULD_BE_REFACTORED_TO_BE_FINAL	RSPEC-1444
BX_BOXING_IMMEDIATELY_UNBOXED_TO_PERFORM_COERCION	RSPEC-2153
DM_MONITOR_WAIT_ON_CONDITION	RSPEC-1844
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC	RSPEC-2162
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE	RSPEC-2063
DE_MIGHT_IGNORE	RSPEC-108
DMI_BAD_MONTH	RSPEC-2110
FI_MISSING_SUPER_CALL	ObjectFinalizeOverridenCallsSuperFinalizeCheck
CD_CIRCULAR_DEPENDENCY	CycleBetweenPackages
SE_TRANSIENT_FIELD_OF_NONSERIALIZABLE_CLASS	RSPEC-2065
EQ_SELF_USE_OBJECT	RSPEC-1201
BC_IMPOSSIBLE_INSTANCEOF	RSPEC-1850
SE_NONFINAL_SERIALVERSIONID	RSPEC-2057
RV_RETURN_VALUE_IGNORED_INFERRED	RSPEC-2201
SE_NO_SERIALVERSIONID	RSPEC-2057
EC_UNRELATED_TYPES_USING_POINTER_EQUALITY	RSPEC-1698
RU_INVOKE_RUN	RSPEC-1217
BX_BOXING_IMMEDIATELY_UNBOXED	RSPEC-2153
VA_FORMAT_STRING_BAD_CONVERSION_FROM_ARRAY	RSPEC-2275
RpC_REPEATED_CONDITIONAL_TEST	RSPEC-1764
DLS_DEAD_LOCAL_STORE_IN_RETURN	AssignmentInSubExpressionCheck
WA_NOT_IN_LOOP	RSPEC-2274
DMI_ANNOTATION_IS_NOT_VISIBLE_TO_REFLECTION	RSPEC-2109
UUF_UNUSED_FIELD	RSPEC-1068
HE_EQUALS_NO_HASHCODE	RSPEC-1206
DMI_USING_REMOVEALL_TO_CLEAR_COLLECTION	RSPEC-2114
SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING	RSPEC-2077
ICAST_BAD_SHIFT_AMOUNT	RSPEC-2183
ICAST_IDIV_CAST_TO_DOUBLE	RSPEC-2184
SE_READ_RESOLVE_MUST_RETURN_OBJECT	RSPEC-2061
USM_USELESS_SUBCLASS_METHOD	RSPEC-1185
WA_AWAIT_NOT_IN_LOOP	RSPEC-2274
NM_FUTURE_KEYWORD_USED_AS_MEMBER_IDENTIFIER	RSPEC-1190
DMI_INVOKING_HASHCODE_ON_ARRAY	RSPEC-2116
PZLA_PREFER_ZERO_LENGTH_ARRAYS	RSPEC-1168
VA_FORMAT_STRING_ILLEGAL	RSPEC-2275
SA_LOCAL_SELF_COMPUTATION	RSPEC-1764
SE_READ_RESOLVE_IS_STATIC	RSPEC-2061
MTIA_SUSPECT_SERVLET_INSTANCE_FIELD	RSPEC-2226
